"index_code","index_desc","wind_code","date","open","high","low","close","volume","amt","chg","pct_chg","update_time"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230814",,,,"1218.54",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230821",,,,"1227.97",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230828",,,,"1219.13",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230904",,,,"1215.41",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230911",,,,"1307.54",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230918",,,,"1198.65",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20230925",,,,"1236.87",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231002",,,,"1103.38",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231009",,,,"1102.21",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231016",,,,"1082.95",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231023",,,,"1087.58",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231030",,,,"1151.26",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231106",,,,"1120.03",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231113",,,,"1259.6",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231120",,,,"1108.75",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231127",,,,"1025.62",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231204",,,,"966.48",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231211",,,,"977.78",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231218",,,,"997",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20231225",,,,"1080.67",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20240101",,,,"1095.06",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20240108",,,,"1186.96",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20240115",,,,"1673.68",,,,,"20/3/2025 09:53:34.620718+08"
"ee1e0330-0b69-4aa5-8592-8ab4ef86a5b0","SCFIS:美西航线(基本港)","S008618298","20240122",,,,"1684",,,,,"20/3/2025 09:53:34.620718+08"
